age,d18O
8000,-33.72
8020,-34.07
8040,-34.07
8060,-34.55
8080,-34.54
8100,-35.48
8120,-35.03
8140,-34.99
8160,-34.62
8180,-34.89
8200,-35.6
8220,-36.23
8240,-36.17
8260,-36.07
8280,-35.94
8300,-35.01
8320,-35.95
8340,-33.95
8360,-34.89
8380,-34.77
8400,-34.99
8420,-34.2
8440,-35.82
8460,-33.67
8480,-33.44
8500,-34.51
8520,-35.37
8540,-34.32
8560,-34.49
8580,-35.11
8600,-34.88
8620,-35.66
8640,-34.6
8660,-34.06
8680,-34.64
8700,-34.61
8720,-34.89
8740,-35.8
8760,-34.4
8780,-34.57
8800,-34.71
8820,-35.03
8840,-34.69
8860,-34.56
8880,-34.68
8900,-33.96
8920,-34.98
8940,-34.68
8960,-33.66
8980,-34.05
9000,-35.15
9020,-34.6
9040,-34.32
9060,-34.41
9080,-34.8
9100,-34.84
9120,-34.98
9140,-34.73
9160,-34.6
9180,-35.23
9200,-34.55
9220,-34.42
9240,-34.05
9260,-34.42
9280,-34.9
9300,-34.93
9320,-35.05
9340,-36.22
9360,-35.68
9380,-34.86
9400,-35.35
9420,-34.46
9440,-34.28
9460,-35.74
9480,-35.19
9500,-34.5
9520,-34.88
9540,-34.76
9560,-34.58
9580,-34.58
9600,-34.77
9620,-35.49
9640,-34.8
9660,-34.94
9680,-35.1
9700,-35.85
9720,-34.92
9740,-34.27
9760,-34.95
9780,-35.33
9800,-35.12
9820,-34.66
9840,-35.04
9860,-34.51
9880,-35.02
9900,-35.1
9920,-35.03
9940,-35.16
9960,-34.93
9980,-35.46
10000,-34.87
10020,-35.6
10040,-34.67
10060,-35.15
10080,-34.65
10100,-34.36
10120,-35.6
10140,-35.54
10160,-34.74
10180,-35.27
10200,-35.37
10220,-35.68
10240,-34.99
10260,-34.54
10280,-35.05
10300,-35.95
10320,-35.87
10340,-35.97
10360,-36.4
10380,-35.56
10400,-35.57
10420,-36.1
10440,-35.8
10460,-36.62
10480,-36.74
10500,-36.2
10520,-36.19
10540,-36.95
10560,-36.02
10580,-35.73
10600,-35.55
10620,-36.27
10640,-35.47
10660,-36.31
10680,-36.03
10700,-36.23
10720,-36.64
10740,-36.31
10760,-35.73
10780,-36.1
10800,-36.35
10820,-36.73
10840,-35.61
10860,-36.32
10880,-37.07
10900,-35.57
10920,-36.76
10940,-36.17
10960,-37.63
10980,-37.07
11000,-37.36
11020,-37.16
11040,-37.16
11060,-38.02
11080,-36.6
11100,-37.22
11120,-36.59
11140,-36.55
11160,-37.17
11180,-36.66
11200,-36.88
11220,-36.3
11240,-37.25
11260,-36.79
11280,-37.67
11300,-36.99
11320,-37.96
11340,-37.25
11360,-34.32
11380,-36.81
11400,-37.56
11420,-36.54
11440,-36.72
11460,-37.76
11480,-38.04
11500,-37.45
11520,-38.62
11540,-38.24
11560,-38.74
11580,-36.84
11600,-38.23
11620,-37.03
11640,-36.36
11660,-36.85
11680,-37.02
11700,-36.65
11720,-36.79
11740,-36.2
11760,-38.51
11780,-38.71
11800,-40.15
11820,-40.27
11840,-40.12
11860,-40.23
11880,-39.97
11900,-40.42
11920,-40.8
11940,-39.38
11960,-39.34
11980,-41.23
12000,-40.05
12020,-41.03
12040,-40.96
12060,-41.35
12080,-40.68
12100,-40.2
12120,-40.13
12140,-39.4
12160,-40.23
12180,-40.89
12200,-41.76
12220,-40.68
12240,-41.68
12260,-41.58
12280,-39.69
12300,-41.04
12320,-41.26
12340,-39.53
12360,-41.03
12380,-41.14
12400,-40.37
12420,-40.91
12440,-41.65
12460,-41.41
12480,-40.8
12500,-41.08
12520,-40.9
12540,-41.88
12560,-40
12580,-41.91
12600,-40.76
12620,-39.26
12640,-40.71
12660,-40.47
12680,-41.33
12700,-41.84
12720,-41.64
12740,-41.39
12760,-40.92
12780,-41.81
12800,-42.23
12820,-41.73
12840,-41.01
12860,-40.05
12880,-40.16
12900,-40.39
12920,-39.84
12940,-39.28
12960,-39.55
12980,-40.27
13000,-39.21
13020,-37.8
13040,-38.23
13060,-39.17
13080,-38.62
13100,-39.67
13120,-39.51
13140,-39.8
13160,-40.2
13180,-39.9
13200,-40.24
13220,-40.65
13240,-41.52
13260,-39.81
13280,-40.52
13300,-40.11
13320,-40.59
13340,-39.47
13360,-39.04
13380,-39.14
13400,-38.97
13420,-39.31
13440,-38.85
13460,-38.64
13480,-38.65
13500,-38.6
13520,-38.18
13540,-38.84
13560,-38.11
13580,-38.07
13600,-38.1
13620,-37.4
13640,-38.03
13660,-39.31
13680,-38.92
13700,-39.83
13720,-40.13
13740,-38.93
13760,-39.29
13780,-38.67
13800,-38.41
13820,-37.94
13840,-38.76
13860,-39.53
13880,-38.99
13900,-37.94
13920,-39.09
13940,-38.25
13960,-37.68
13980,-38.04
14000,-38.46
14020,-38.49
14040,-38.23
14060,-40.02
14080,-39.38
14100,-39.77
14120,-40.46
14140,-40.25
14160,-40.07
14180,-38.55
14200,-38.14
14220,-37.98
14240,-38.9
14260,-37.89
14280,-37.89
14300,-37.6
14320,-38.53
14340,-37.72
14360,-36.75
14380,-37.53
14400,-36.81
14420,-37.74
14440,-36.77
14460,-37.71
14480,-35.35
14500,-37.27
14520,-37.17
14540,-37.59
14560,-36.56
14580,-35.72
14600,-35.65
14620,-35.71
14640,-36.31
14660,-37.38
14680,-36.23
14700,-36.61
14720,-37.69
14740,-37.4
14760,-37.89
14780,-42
14800,-41.88
14820,-42.38
14840,-40.87
14860,-40.86
14880,-40.3
14900,-41.37
14920,-41.68
14940,-41.22
14960,-40.86
14980,-40.86
15000,-41.67
